name,language,stars,forks,creation_date,last_commit_date,repo_url
freeCodeCamp,TypeScript,406721,38267,2014-12-24T17:49:19Z,2024-12-07T07:54:45Z,https://github.com/freeCodeCamp/freeCodeCamp
free-programming-books,HTML,341031,61918,2013-10-11T06:50:37Z,2024-12-06T15:02:18Z,https://github.com/EbookFoundation/free-programming-books
awesome,,336406,27983,2014-07-11T13:42:37Z,2024-11-28T19:02:18Z,https://github.com/sindresorhus/awesome
public-apis,Python,319459,33993,2016-03-20T23:49:42Z,2024-10-31T19:50:02Z,https://github.com/public-apis/public-apis
build-your-own-x,Markdown,316390,29352,2018-05-09T12:03:18Z,2024-09-03T14:39:35Z,https://github.com/codecrafters-io/build-your-own-x
coding-interview-university,,307593,77080,2016-06-06T02:34:12Z,2024-12-05T23:47:30Z,https://github.com/jwasham/coding-interview-university
developer-roadmap,TypeScript,300616,39481,2017-03-15T13:45:52Z,2024-12-08T00:29:58Z,https://github.com/kamranahmedse/developer-roadmap
system-design-primer,Python,278522,46632,2017-02-26T16:15:28Z,2024-12-02T01:10:39Z,https://github.com/donnemartin/system-design-primer
996.ICU,,270000,21122,2019-03-26T07:31:14Z,2024-10-03T12:29:12Z,https://github.com/996icu/996.ICU
react,JavaScript,230185,48169,2013-05-24T16:15:54Z,2024-12-06T15:55:53Z,https://github.com/facebook/react
awesome-python,Python,226796,24963,2014-06-27T21:00:06Z,2024-08-11T17:10:18Z,https://github.com/vinta/awesome-python
vue,TypeScript,208111,33684,2013-07-29T03:24:51Z,2024-10-10T07:24:15Z,https://github.com/vuejs/vue
project-based-learning,,206475,26933,2017-04-12T05:07:46Z,2024-08-15T05:33:54Z,https://github.com/practical-tutorials/project-based-learning
awesome-selfhosted,,206053,9805,2015-06-01T02:33:17Z,2024-11-30T13:10:16Z,https://github.com/awesome-selfhosted/awesome-selfhosted
Python,Python,195310,45895,2016-07-16T09:44:01Z,2024-12-05T04:34:48Z,https://github.com/TheAlgorithms/Python
javascript-algorithms,JavaScript,188768,30315,2018-03-24T07:47:04Z,2024-08-19T12:32:07Z,https://github.com/trekhleb/javascript-algorithms
tensorflow,C++,186727,74351,2015-11-07T01:19:20Z,2024-12-08T02:27:02Z,https://github.com/tensorflow/tensorflow
linux,C,183880,54338,2011-09-04T22:48:12Z,2024-12-07T18:52:45Z,https://github.com/torvalds/linux
You-Dont-Know-JS,,180063,33526,2013-11-16T02:37:24Z,2024-09-05T04:11:45Z,https://github.com/getify/You-Dont-Know-JS
CS-Notes,,177775,51134,2018-02-13T14:56:24Z,2024-08-21T09:40:10Z,https://github.com/CyC2018/CS-Notes
ohmyzsh,Shell,174458,25933,2009-08-28T18:15:37Z,2024-11-28T08:57:21Z,https://github.com/ohmyzsh/ohmyzsh
computer-science,,173055,21876,2014-05-04T00:18:39Z,2024-10-26T22:01:33Z,https://github.com/ossu/computer-science
bootstrap,JavaScript,171028,78906,2011-07-29T21:19:00Z,2024-12-07T05:37:49Z,https://github.com/twbs/bootstrap
AutoGPT,Python,168969,44507,2023-03-16T09:21:07Z,2024-12-07T23:27:14Z,https://github.com/Significant-Gravitas/AutoGPT
flutter,Dart,166905,27669,2015-03-06T22:54:58Z,2024-12-07T17:50:38Z,https://github.com/flutter/flutter
vscode,TypeScript,165072,29575,2015-09-03T20:23:38Z,2024-12-07T19:46:06Z,https://github.com/microsoft/vscode
gitignore,,162952,83119,2010-11-08T20:17:14Z,2024-12-06T20:03:00Z,https://github.com/github/gitignore
Python-100-Days,Python,158567,52570,2018-03-01T16:05:52Z,2024-08-15T10:52:27Z,https://github.com/jackfrued/Python-100-Days
the-art-of-command-line,,153965,14579,2015-05-20T15:11:03Z,2024-06-25T18:13:44Z,https://github.com/jlevy/the-art-of-command-line
the-book-of-secret-knowledge,,150691,9620,2018-06-23T10:43:14Z,2024-11-19T14:00:38Z,https://github.com/trimstray/the-book-of-secret-knowledge
JavaGuide,Java,147220,45640,2018-05-07T13:27:00Z,2024-12-03T05:08:56Z,https://github.com/Snailclimb/JavaGuide
javascript,JavaScript,145596,26559,2012-11-01T23:13:50Z,2024-10-05T06:48:52Z,https://github.com/airbnb/javascript
stable-diffusion-webui,Python,144067,27066,2022-08-22T14:05:26Z,2024-11-28T08:39:13Z,https://github.com/AUTOMATIC1111/stable-diffusion-webui
transformers,Python,136006,27239,2018-10-29T13:56:00Z,2024-12-06T16:31:56Z,https://github.com/huggingface/transformers
awesome-go,Go,133996,11956,2014-07-06T13:42:15Z,2024-12-07T16:54:07Z,https://github.com/avelino/awesome-go
youtube-dl,Python,132822,10084,2010-10-31T14:35:07Z,2024-10-15T20:11:28Z,https://github.com/ytdl-org/youtube-dl
next.js,JavaScript,127635,27072,2016-10-05T23:32:51Z,2024-12-08T00:14:56Z,https://github.com/vercel/next.js
fucking-algorithm,Markdown,126081,23237,2020-02-19T09:01:23Z,2024-09-22T09:35:00Z,https://github.com/labuladong/fucking-algorithm
go,Go,124475,17712,2014-08-19T04:33:40Z,2024-12-07T02:32:37Z,https://github.com/golang/go
30-seconds-of-code,JavaScript,122020,12047,2017-11-29T17:35:03Z,2024-12-07T20:57:34Z,https://github.com/Chalarangelo/30-seconds-of-code
